"Código"	"Município"	"UF"
"1"	"5100102"	"Acorizal "	"MT"
"2"	"5100201"	"Água Boa "	"MT"
"3"	"5100250"	"Alta Floresta "	"MT"
"4"	"5100300"	"Alto Araguaia "	"MT"
"5"	"5100359"	"Alto Boa Vista "	"MT"
"6"	"5100409"	"Alto Garças "	"MT"
"7"	"5100508"	"Alto Paraguai "	"MT"
"8"	"5100607"	"Alto aquari "	"MT"
"9"	"5100805"	"Apiacás "	"MT"
"10"	"5101001"	"Araguaiana "	"MT"
"11"	"5101209"	"Araguainha "	"MT"
"12"	"5101258"	"Araputanga "	"MT"
"13"	"5101308"	"Arenápolis "	"MT"
"14"	"5101407"	"Aripuanã "	"MT"
"15"	"5101605"	"Barão de elgaço "	"MT"
"16"	"5101704"	"Barra do Bugres "	"MT"
"17"	"5101803"	"Barra do Garças "	"MT"
"18"	"5101852"	"Bom Jesus do Araguaia "	"MT"
"19"	"5101902"	"Brasnorte "	"MT"
"20"	"5102504"	"Cáceres "	"MT"
"21"	"5102603"	"Campinápolis "	"MT"
"22"	"5102637"	"Campo Novo do Parecis "	"MT"
"23"	"5102678"	"Campo Verde "	"MT"
"24"	"5102686"	"Campos de Júlio "	"MT"
"25"	"5102694"	"Canabrava do Norte "	"MT"
"26"	"5102702"	"Canarana "	"MT"
"27"	"5102793"	"Carlinda "	"MT"
"28"	"5102850"	"Castanheira "	"MT"
"29"	"5103007"	"Chapada dos Guimarães "	"MT"
"30"	"5103056"	"Cláudia "	"MT"
"31"	"5103106"	"Cocalinho "	"MT"
"32"	"5103205"	"Colíder "	"MT"
"33"	"5103254"	"Colniza "	"MT"
"34"	"5103304"	"Comodoro "	"MT"
"35"	"5103353"	"Confresa "	"MT"
"36"	"5103361"	"Conquista D'Oeste "	"MT"
"37"	"5103379"	"Cotriguaçu "	"MT"
"38"	"5103403"	"Cuiabá "	"MT"
"39"	"5103437"	"Curvelândia "	"MT"
"40"	"5103452"	"Denise "	"MT"
"41"	"5103502"	"Diamantino "	"MT"
"42"	"5103601"	"Dom Aquino "	"MT"
"43"	"5103700"	"Feliz Natal "	"MT"
"44"	"5103809"	"Figueirópolis D'Oeste "	"MT"
"45"	"5103858"	"Gaúcha do Norte "	"MT"
